moves: 50952, loss: 863.7586059570312, accuracy: 0.34375, average_max_q: 4.605079979705624
moves: 50956, loss: 1474.283203125, accuracy: 0.375, average_max_q: 11.339412730559706
moves: 50960, loss: 361.3241271972656, accuracy: 0.46875, average_max_q: -1.1698345052311196
moves: 50964, loss: 27.621109008789062, accuracy: 0.28125, average_max_q: 3.418890101369471
moves: 50968, loss: 400.9599914550781, accuracy: 0.46875, average_max_q: -1.9232529708649964
moves: 50972, loss: 475.8608093261719, accuracy: 0.53125, average_max_q: 9.410668863728644
moves: 50976, loss: 1629.3372802734375, accuracy: 0.375, average_max_q: 23.979578390787356
moves: 50980, loss: 465.97906494140625, accuracy: 0.34375, average_max_q: 5.480860841530374
moves: 50984, loss: 384.6051025390625, accuracy: 0.28125, average_max_q: 10.245395220071078
moves: 50988, loss: 775.271240234375, accuracy: 0.5, average_max_q: 5.540242152963764
moves: 50992, loss: 522.109130859375, accuracy: 0.25, average_max_q: 12.188520391914063
moves: 50996, loss: 378.42083740234375, accuracy: 0.4375, average_max_q: 2.2656526277307423
moves: 51000, loss: 1155.858642578125, accuracy: 0.5, average_max_q: 2.9168795550358486
moves: 51004, loss: 423.517578125, accuracy: 0.46875, average_max_q: 4.722987947426736
moves: 51008, loss: 443.0160827636719, accuracy: 0.53125, average_max_q: 9.000647324835882
moves: 51012, loss: 1907.3875732421875, accuracy: 0.46875, average_max_q: 4.7686037489678705
moves: 51016, loss: 244.4860382080078, accuracy: 0.46875, average_max_q: 13.125918680452742
moves: 51020, loss: 9.137514114379883, accuracy: 0.5625, average_max_q: 0.5401014777176897
moves: 51024, loss: 483.97503662109375, accuracy: 0.3125, average_max_q: 2.1609193072188653
moves: 51028, loss: 9.233450889587402, accuracy: 0.40625, average_max_q: 0.10347444748040313
moves: 51032, loss: 1249.9346923828125, accuracy: 0.40625, average_max_q: 5.788608742598445
moves: 51036, loss: 664.6013793945312, accuracy: 0.4375, average_max_q: -0.8139303999254479
moves: 51040, loss: 1939.85791015625, accuracy: 0.375, average_max_q: -3.135879710700829
moves: 51044, loss: 1321.566162109375, accuracy: 0.46875, average_max_q: 0.3302848678082231
moves: 51048, loss: 378.72412109375, accuracy: 0.5, average_max_q: -0.6103102910798043
moves: 51052, loss: 384.6409606933594, accuracy: 0.40625, average_max_q: 2.220417479798198
